[GIN] 2022/08/18 - 17:06:30 | 200 |      234.98µs |    192.168.1.10 | GET      "/ws/getUserList?uid=14"
[GIN] 2022/08/18 - 17:06:30 | 200 |     280.239µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=14"
[GIN] 2022/08/18 - 17:06:30 | 200 |     287.194µs |    192.168.1.10 | GET      "/ws/getUserList?uid=13"
[GIN] 2022/08/18 - 17:06:30 | 200 |     350.384µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=13"
[GIN] 2022/08/18 - 17:06:32 | 200 |    1.995985ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:06:32 | 200 |     482.671µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:06:32 | 200 |     587.567µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:07:02 | 200 |     550.308µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:07:02 | 200 |     556.967µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:07:03 | 200 |     336.454µs |    192.168.1.10 | GET      "/ws/getUserList?uid=14"
[GIN] 2022/08/18 - 17:07:03 | 200 |     383.785µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=14"
[GIN] 2022/08/18 - 17:07:03 | 200 |     239.108µs |    192.168.1.10 | GET      "/ws/getUserList?uid=13"
[GIN] 2022/08/18 - 17:07:03 | 200 |     238.846µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=13"
[GIN] 2022/08/18 - 17:07:04 | 200 |    1.903138ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:07:04 | 200 |     606.789µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:07:04 | 200 |      562.45µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:09:30 | 200 |     444.509µs |    192.168.1.10 | GET      "/ws/getUserList?uid=14"
[GIN] 2022/08/18 - 17:09:30 | 200 |     622.179µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=14"
[GIN] 2022/08/18 - 17:09:30 | 200 |     535.928µs |    192.168.1.10 | GET      "/ws/getUserList?uid=13"
[GIN] 2022/08/18 - 17:09:30 | 200 |     436.251µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=13"
[GIN] 2022/08/18 - 17:09:30 | 200 |     495.108µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:09:30 | 200 |     422.807µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:09:32 | 200 |    1.982997ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:09:32 | 200 |     481.861µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:09:32 | 200 |     675.692µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:09:42 | 200 |    1.868849ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:09:42 | 200 |     440.422µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:09:42 | 200 |     520.402µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:10:19 | 200 |    1.486109ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:10:19 | 200 |    1.312486ms |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:10:19 | 200 |     573.822µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:10:20 | 200 |    1.791653ms |    192.168.1.10 | POST     "/root/active"
[GIN] 2022/08/18 - 17:10:20 | 200 |     321.193µs |    192.168.1.10 | GET      "/ws/getUserList?uid=14"
[GIN] 2022/08/18 - 17:10:20 | 200 |     347.261µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=14"
[GIN] 2022/08/18 - 17:10:20 | 200 |      908.99µs |    192.168.1.10 | POST     "/root/active"
[GIN] 2022/08/18 - 17:10:20 | 200 |     242.773µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=13"
[GIN] 2022/08/18 - 17:10:20 | 200 |     220.235µs |    192.168.1.10 | GET      "/ws/getUserList?uid=13"
[GIN] 2022/08/18 - 17:10:22 | 200 |    1.897224ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:10:22 | 200 |     529.292µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:10:22 | 200 |     596.913µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:11:50 | 200 |     748.619µs |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:11:50 | 200 |      231.09µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:11:50 | 200 |     284.613µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:11:50 | 200 |     884.413µs |    192.168.1.10 | POST     "/root/active"
[GIN] 2022/08/18 - 17:11:50 | 200 |     268.669µs |    192.168.1.10 | GET      "/ws/getUserList?uid=13"
[GIN] 2022/08/18 - 17:11:50 | 200 |     256.938µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=13"
[GIN] 2022/08/18 - 17:11:50 | 200 |     768.411µs |    192.168.1.10 | POST     "/root/active"
[GIN] 2022/08/18 - 17:11:50 | 200 |     540.302µs |    192.168.1.10 | GET      "/ws/getUserList?uid=14"
[GIN] 2022/08/18 - 17:11:50 | 200 |       336.2µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=14"
[GIN] 2022/08/18 - 17:11:51 | 200 |    2.073841ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:11:51 | 200 |     708.207µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:11:51 | 200 |     593.133µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:13:28 | 200 |     477.149µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:13:28 | 200 |     587.001µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:13:28 | 200 |     585.961µs |    192.168.1.10 | GET      "/ws/getUserList?uid=14"
[GIN] 2022/08/18 - 17:13:28 | 200 |     828.006µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=14"
[GIN] 2022/08/18 - 17:13:28 | 200 |     394.549µs |    192.168.1.10 | GET      "/ws/getUserList?uid=13"
[GIN] 2022/08/18 - 17:13:28 | 200 |     554.075µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=13"
[GIN] 2022/08/18 - 17:13:35 | 200 |     613.581µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:13:35 | 200 |     546.567µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:13:36 | 200 |     673.603µs |    192.168.1.10 | GET      "/ws/getUserList?uid=14"
[GIN] 2022/08/18 - 17:13:36 | 200 |     653.761µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=14"
[GIN] 2022/08/18 - 17:13:36 | 200 |     444.645µs |    192.168.1.10 | GET      "/ws/getUserList?uid=13"
[GIN] 2022/08/18 - 17:13:36 | 200 |     403.966µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=13"
[GIN] 2022/08/18 - 17:13:38 | 200 |    2.065421ms |    192.168.1.19 | POST     "/root/active"
